Morningstar Category,Medalist_1,Medalist_2,Name_1,Name_2,3-year Rank_1,3-year Rank_2,Expense Ratio - Net_1,3 Year Sharpe Ratio_1,Standard Deviation_1,3 Yr_1,Beta_1,Manager Tenure_1,Inception Date_1,Assets (Millions)_1,Turnover Rates_1,Load (Y/N)_1,NTF_1,Expense Ratio - Net_2,3 Year Sharpe Ratio_2,Standard Deviation_2,3 Yr_2,Beta_2,Manager Tenure_2,Inception Date_2,Assets (Millions)_2,Turnover Rates_2,Load (Y/N)_2,NTF_2,interestingness
Health,Bronze,Neutral,BlackRock Health Sciences Opportunities Portfolio Investor A Shares (SHSAX),Eventide Healthcare & Life Sciences Fund CLASS N SHARES (ETNHX),45.0,11.0,0.0109,0.2,12.89,7.65,0.55,22 years,12/21/1999,6536.11,43.0,Y,Y,0.0151,0.44,24.28,15.83,,13 years,12/27/2012,1688.38,41.0,N,Y,9.943253762489189
Health,Negative,Neutral,AlphaCentric Life Sciences and Healthcare Fund Class I (LYFIX),Virtus KAR Health Sciences Fund Class A (RAGHX),27.0,86.0,0.0146,0.28,21.51,11.08,0.95,1 year,11/29/2019,37.02,164.0,N,N,0.0139999999999999,-0.18,14.72,2.42,,3 years,02/05/2002,103.63,8.0,Y,Y,9.941738257423738
Health,Negative,Neutral,Putnam Global Health Care Fund Class A (PHSTX),Eventide Healthcare & Life Sciences Fund CLASS N SHARES (ETNHX),37.0,11.0,0.0105,0.24,13.54,8.34,0.52,9 years,05/28/1982,1547.9,36.0,Y,Y,0.0151,0.44,24.28,15.83,,13 years,12/27/2012,1688.38,41.0,N,Y,9.939570991656169
Health,Bronze,Negative,PGIM Jennison Health Sciences Fund- Class A (PHLAX),Virtus KAR Health Sciences Fund Class C (RCGHX),14.0,90.0,0.0113,0.56,14.8,13.28,0.62,11 years,06/30/1999,1483.94,79.0,Y,N,0.0216,-0.23,14.73,1.63,,3 years,02/05/2002,103.63,8.0,Y,N,9.933631377217521
Health,Bronze,Neutral,BlackRock Health Sciences Opportunities Portfolio Service Shares (SHISX),Eventide Healthcare & Life Sciences Fund Class A Shares (ETAHX),45.0,11.0,0.0115,0.2,12.89,7.59,0.55,22 years,12/21/1999,6536.11,43.0,N,N,0.0156,0.44,24.28,15.79,,13 years,12/27/2012,1688.38,41.0,Y,N,9.928432775900582
Health,Negative,Neutral,Putnam Global Health Care Fund Class C (PCHSX),Eventide Healthcare & Life Sciences Fund Class A Shares (ETAHX),46.0,11.0,0.018,0.18,13.54,7.52,0.52,9 years,05/28/1982,1547.9,36.0,Y,N,0.0156,0.44,24.28,15.79,,13 years,12/27/2012,1688.38,41.0,Y,N,9.920501215197167
Health,Neutral,Silver,Nomura Healthcare Fund Class C (DLHCX),Baron Health Care Fund Retail Shares (BHCFX),29.0,73.0,0.0196,0.41,13.34,10.51,0.5,18 years,09/28/2007,693.63,5.0,Y,N,0.011,0.05,14.52,5.75,1.0,8 years,04/30/2018,144.04,49.0,N,Y,9.911317362702544
Health,Gold,Negative,Baron Health Care Fund Institutional Shares (BHCHX),Rydex Biotechnology Fund Class A (RYBOX),70.0,28.0,0.0085,0.07,14.52,6.03,1.0,8 years,04/30/2018,144.04,49.0,N,N,0.0163999999999999,0.36,16.49,10.96,0.82,28 years,04/01/1998,109.0,79.0,Y,N,9.906290277232582
Health,Gold,Negative,Baron Health Care Fund Institutional Shares (BHCHX),Rydex Biotechnology Fund Class H (RYOAX),70.0,28.0,0.0085,0.07,14.52,6.03,1.0,8 years,04/30/2018,144.04,49.0,N,N,0.0163999999999999,0.36,16.47,10.96,0.82,28 years,04/01/1998,109.0,79.0,N,N,9.900635546826527
Health,Bronze,Neutral,PGIM Jennison Health Sciences Fund- Class A (PHLAX),Franklin Biotechnology Discovery Fund Class C (FBTDX),14.0,1.0,0.0113,0.56,14.8,13.28,0.62,11 years,06/30/1999,1483.94,79.0,Y,N,0.0177,0.84,20.66,22.4,0.82,28 years,09/15/1997,1023.98,21.87,Y,N,9.892806225720024
Health,Gold,Neutral,Baron Health Care Fund Institutional Shares (BHCHX),BlackRock Health Sciences Opportunities Portfolio Investor C Shares (SHSCX),70.0,51.0,0.0085,0.07,14.52,6.03,1.0,8 years,04/30/2018,144.04,49.0,N,N,0.0185,0.14,12.88,6.82,0.55,22 years,12/21/1999,6536.11,43.0,Y,N,9.892327082751093
Health,Negative,Neutral,Rydex Health Care Fund Class C (RYHCX),Invesco Health Care Fund Class A (GGHCX),73.0,47.0,0.0237999999999999,0.05,13.61,5.76,0.75,28 years,04/17/1998,17.9,236.0,Y,N,0.0105,0.17,13.62,7.36,0.7,5 years,08/07/1989,1255.13,56.0,Y,Y,9.883500474530194
Health,Bronze,Neutral,PGIM Jennison Health Sciences Fund- Class C (PHLCX),Alger Health Sciences Fund Class C (AHSCX),18.0,90.0,0.0196,0.49,14.81,12.34,0.62,11 years,06/30/1999,1483.94,79.0,Y,N,0.019,-0.24,14.73,1.42,0.78,20 years,05/01/2002,66.07,233.38,Y,N,9.882540895249752
Health,Bronze,Neutral,The Hartford Healthcare Fund Class C (HGHCX),Eventide Healthcare & Life Sciences Fund Class A Shares (ETAHX),74.0,11.0,0.0207,0.03,14.47,5.42,0.65,5 years,05/01/2000,845.64,40.0,Y,N,0.0156,0.44,24.28,15.79,,13 years,12/27/2012,1688.38,41.0,Y,N,9.870200253138098
Health,Neutral,Silver,Eventide Healthcare & Life Sciences Fund CLASS C SHARES (ETCHX),Baron Health Care Fund Retail Shares (BHCFX),12.0,73.0,0.0231,0.41,24.27,14.9,,13 years,12/27/2012,1688.38,41.0,Y,N,0.011,0.05,14.52,5.75,1.0,8 years,04/30/2018,144.04,49.0,N,Y,9.87015763207776
Health,Neutral,Neutral,Rydex Health Care Fund Class Investor (RYHIX),Nomura Healthcare Fund Class C (DLHCX),52.0,29.0,0.0139,0.13,13.61,6.82,0.75,28 years,04/17/1998,17.9,236.0,N,Y,0.0196,0.41,13.34,10.51,0.5,18 years,09/28/2007,693.63,5.0,Y,N,9.8574932315626
Health,Bronze,Neutral,BlackRock Health Sciences Opportunities Portfolio Service Shares (SHISX),Eventide Healthcare & Life Sciences Fund CLASS N SHARES (ETNHX),45.0,11.0,0.0115,0.2,12.89,7.59,0.55,22 years,12/21/1999,6536.11,43.0,N,N,0.0151,0.44,24.28,15.83,,13 years,12/27/2012,1688.38,41.0,N,Y,9.841994397071536
Health,Neutral,Gold,Eaton Vance Worldwide Health Sciences Fund Class I (EIHSX),Fidelity Select Biotechnology Portfolio (FBIOX),53.0,6.0,0.0093,0.13,13.03,6.72,0.67,10 years,07/26/1985,862.7,30.0,N,N,0.0063,0.62,19.51,17.22,0.89,20 years,12/16/1985,5225.16,45.0,N,Y,9.840651979459691
Health,Gold,Neutral,Fidelity Select Medical Technology and Devices Portfolio (FSMEX),Alger Health Sciences Fund Class C (AHSCX),77.0,90.0,0.0063,0.0,16.47,5.04,1.04,19 years,04/28/1998,4114.01,53.0,N,Y,0.019,-0.24,14.73,1.42,0.78,20 years,05/01/2002,66.07,233.38,Y,N,9.812898075669345
Health,Neutral,Neutral,Live Oak Health Sciences Fund (LOGSX),Eventide Healthcare & Life Sciences Fund Class A Shares (ETAHX),58.0,11.0,0.0103,0.13,12.69,6.64,,7 years,06/29/2001,52.5,24.0,N,Y,0.0156,0.44,24.28,15.79,,13 years,12/27/2012,1688.38,41.0,Y,N,9.79917495726369
Health,Gold,Bronze,Baron Health Care Fund Institutional Shares (BHCHX),Fidelity Select Pharmaceuticals Portfolio (FPHAX),70.0,8.0,0.0085,0.07,14.52,6.03,1.0,8 years,04/30/2018,144.04,49.0,N,N,0.0067,0.7,17.16,17.05,0.65,9 years,06/18/2001,1352.03,45.0,N,Y,9.795861952055581
Health,Neutral,Neutral,DWS Health and Wellness Fund - Class A (SUHAX),Alger Health Sciences Fund Class C (AHSCX),51.0,90.0,0.0133,0.14,13.28,6.86,0.59,12 years,03/02/1998,259.79,1.0,Y,Y,0.019,-0.24,14.73,1.42,0.78,20 years,05/01/2002,66.07,233.38,Y,N,9.793355909414071
Health,Negative,Neutral,Rydex Health Care Fund Class H (RYHAX),Virtus KAR Health Sciences Fund Institutional Class (HLHIX),58.0,85.0,0.0163999999999999,0.11,13.61,6.55,0.75,28 years,04/17/1998,17.9,236.0,N,N,0.0105,-0.16,14.73,2.73,,3 years,02/05/2002,103.63,8.0,N,N,9.778302238614001
Health,Negative,Neutral,Rydex Health Care Fund Class A (RYHEX),Virtus KAR Health Sciences Fund Institutional Class (HLHIX),58.0,85.0,0.0163999999999999,0.11,13.61,6.54,0.75,28 years,04/17/1998,17.9,236.0,Y,N,0.0105,-0.16,14.73,2.73,,3 years,02/05/2002,103.63,8.0,N,N,9.776246664299665
Health,Negative,Neutral,Rydex Biotechnology Fund Class C (RYCFX),Franklin Biotechnology Discovery Fund Class A (FBDIX),31.0,1.0,0.0237999999999999,0.31,16.47,10.13,0.82,28 years,04/01/1998,109.0,79.0,Y,N,0.0102,0.88,20.68,23.32,0.82,28 years,09/15/1997,1023.22,21.87,Y,Y,9.775861473581465
Health,Neutral,Negative,Live Oak Health Sciences Fund (LOGSX),AlphaCentric Life Sciences and Healthcare Fund Class A (LYFAX),58.0,29.0,0.0103,0.13,12.69,6.64,,7 years,06/29/2001,52.5,24.0,N,Y,0.0171,0.27,21.5,10.81,0.95,1 year,11/29/2019,37.02,164.0,Y,N,9.773109410241279
Health,Bronze,Bronze,The Hartford Healthcare Fund Class Y (HGHYX),Fidelity Select Health Care Services Portfolio (FSHCX),60.0,98.0,0.0103,0.1,14.48,6.54,0.65,5 years,05/01/2000,845.64,40.0,N,N,0.0067,-0.4,20.06,-2.93,0.38,1 year,06/30/1986,865.51,61.0,N,Y,9.765687838227707
Health,Neutral,Negative,Alger Health Sciences Fund Class A (AHSAX),Invesco Health Care Fund Class C (GTHCX),88.0,60.0,0.0118,-0.19,14.75,2.18,0.78,20 years,05/01/2002,66.07,233.38,Y,Y,0.018,0.11,13.61,6.54,0.7,5 years,08/07/1989,1255.13,56.0,Y,N,9.761916180427802
Health,Neutral,Silver,Rydex Health Care Fund Class Investor (RYHIX),PGIM Jennison Health Sciences Fund- Class Z (PHSZX),52.0,14.0,0.0139,0.13,13.61,6.82,0.75,28 years,04/17/1998,17.9,236.0,N,Y,0.0086,0.58,14.8,13.59,0.62,11 years,06/30/1999,1483.94,79.0,N,N,9.750039537594645
Health,Gold,Neutral,Fidelity Select Health Care Portfolio (FSPHX),Virtus KAR Health Sciences Fund Class A (RAGHX),44.0,86.0,0.0063,0.19,14.3,7.72,0.75,17 years,07/14/1981,6358.52,60.0,N,Y,0.0139999999999999,-0.18,14.72,2.42,,3 years,02/05/2002,103.63,8.0,Y,Y,9.748897710402261
Health,Neutral,Negative,Eaton Vance Worldwide Health Sciences Fund Class A (ETHSX),Rydex Biotechnology Fund Class C (RYCFX),60.0,31.0,0.0118,0.11,13.03,6.46,0.67,10 years,07/26/1985,862.7,30.0,Y,Y,0.0237999999999999,0.31,16.47,10.13,0.82,28 years,04/01/1998,109.0,79.0,Y,N,9.747399581674777
Health,Bronze,Bronze,The Hartford Healthcare Fund Class I (HGHIX),Fidelity Select Health Care Services Portfolio (FSHCX),60.0,98.0,0.0102,0.1,14.48,6.54,0.65,5 years,05/01/2000,845.64,40.0,N,N,0.0067,-0.4,20.06,-2.93,0.38,1 year,06/30/1986,865.51,61.0,N,Y,9.74675570301043
Health,Negative,Bronze,Invesco Health Care Fund Class C (GTHCX),Fidelity Select Pharmaceuticals Portfolio (FPHAX),60.0,8.0,0.018,0.11,13.61,6.54,0.7,5 years,08/07/1989,1255.13,56.0,Y,N,0.0067,0.7,17.16,17.05,0.65,9 years,06/18/2001,1352.03,45.0,N,Y,9.744214923203831
Health,Bronze,Silver,PGIM Jennison Health Sciences Fund- Class C (PHLCX),Baron Health Care Fund Retail Shares (BHCFX),18.0,73.0,0.0196,0.49,14.81,12.34,0.62,11 years,06/30/1999,1483.94,79.0,Y,N,0.011,0.05,14.52,5.75,1.0,8 years,04/30/2018,144.04,49.0,N,Y,9.738908720746696
Health,Neutral,Bronze,Live Oak Health Sciences Fund (LOGSX),Fidelity Select Health Care Services Portfolio (FSHCX),58.0,98.0,0.0103,0.13,12.69,6.64,,7 years,06/29/2001,52.5,24.0,N,Y,0.0067,-0.4,20.06,-2.93,0.38,1 year,06/30/1986,865.51,61.0,N,Y,9.73260327291598
Health,Neutral,Neutral,Live Oak Health Sciences Fund (LOGSX),Eventide Healthcare & Life Sciences Fund CLASS N SHARES (ETNHX),58.0,11.0,0.0103,0.13,12.69,6.64,,7 years,06/29/2001,52.5,24.0,N,Y,0.0151,0.44,24.28,15.83,,13 years,12/27/2012,1688.38,41.0,N,Y,9.712736578434644
Health,Negative,Bronze,Rydex Health Care Fund Class A (RYHEX),PGIM Jennison Health Sciences Fund- Class A (PHLAX),58.0,14.0,0.0163999999999999,0.11,13.61,6.54,0.75,28 years,04/17/1998,17.9,236.0,Y,N,0.0113,0.56,14.8,13.28,0.62,11 years,06/30/1999,1483.94,79.0,Y,N,9.706008544217063
Health,Negative,Bronze,Rydex Health Care Fund Class H (RYHAX),PGIM Jennison Health Sciences Fund- Class A (PHLAX),58.0,14.0,0.0163999999999999,0.11,13.61,6.55,0.75,28 years,04/17/1998,17.9,236.0,N,N,0.0113,0.56,14.8,13.28,0.62,11 years,06/30/1999,1483.94,79.0,Y,N,9.703952969902728
Health,Neutral,Negative,Alger Health Sciences Fund Class Z (AHSZX),Rydex Biotechnology Fund Class A (RYBOX),86.0,28.0,0.0077,-0.17,14.76,2.6,0.78,20 years,05/01/2002,65.99,233.38,N,N,0.0163999999999999,0.36,16.49,10.96,0.82,28 years,04/01/1998,109.0,79.0,Y,N,9.699696930606741
Health,Negative,Neutral,Rydex Health Care Fund Class A (RYHEX),Lord Abbett Health Care Fund Class A (LHCAX),58.0,35.0,0.0163999999999999,0.11,13.61,6.54,0.75,28 years,04/17/1998,17.9,236.0,Y,N,0.0103,0.25,16.35,9.12,,7 years,07/31/2019,8.86,88.0,Y,Y,9.696338074405086
Health,Negative,Neutral,Rydex Health Care Fund Class H (RYHAX),Lord Abbett Health Care Fund Class A (LHCAX),58.0,35.0,0.0163999999999999,0.11,13.61,6.55,0.75,28 years,04/17/1998,17.9,236.0,N,N,0.0103,0.25,16.35,9.12,,7 years,07/31/2019,8.86,88.0,Y,Y,9.69428250009075
Health,Neutral,Negative,Alger Health Sciences Fund Class Z (AHSZX),Rydex Biotechnology Fund Class H (RYOAX),86.0,28.0,0.0077,-0.17,14.76,2.6,0.78,20 years,05/01/2002,65.99,233.38,N,N,0.0163999999999999,0.36,16.47,10.96,0.82,28 years,04/01/1998,109.0,79.0,N,N,9.694042200200688
Health,Neutral,Bronze,Alger Health Sciences Fund Class A (AHSAX),Janus Henderson Global Life Sciences Fund Class I (JFNIX),88.0,22.0,0.0118,-0.19,14.75,2.18,0.78,20 years,05/01/2002,66.07,233.38,Y,Y,0.0077,0.44,15.11,11.64,0.78,19 years,12/31/1998,5393.02,30.0,N,N,9.686993480306537
Health,Neutral,Negative,Eaton Vance Worldwide Health Sciences Fund Class A (ETHSX),Rydex Health Care Fund Class C (RYHCX),60.0,73.0,0.0118,0.11,13.03,6.46,0.67,10 years,07/26/1985,862.7,30.0,Y,Y,0.0237999999999999,0.05,13.61,5.76,0.75,28 years,04/17/1998,17.9,236.0,Y,N,9.683612838312435
Health,Neutral,Neutral,Rydex Biotechnology Fund Class Investor (RYOIX),Alger Health Sciences Fund Class C (AHSCX),25.0,90.0,0.0139,0.38,16.48,11.23,0.82,28 years,04/01/1998,109.0,79.0,N,Y,0.019,-0.24,14.73,1.42,0.78,20 years,05/01/2002,66.07,233.38,Y,N,9.677491601267853
Health,Neutral,Neutral,Alger Health Sciences Fund Class A (AHSAX),DWS Health and Wellness Fund - Class C (SUHCX),88.0,68.0,0.0118,-0.19,14.75,2.18,0.78,20 years,05/01/2002,66.07,233.38,Y,Y,0.0208,0.08,13.27,6.08,0.59,12 years,03/02/1998,259.79,1.0,Y,N,9.675352286146918
Health,Gold,Negative,Fidelity Select Health Care Portfolio (FSPHX),Rydex Biotechnology Fund Class C (RYCFX),44.0,31.0,0.0063,0.19,14.3,7.72,0.75,17 years,07/14/1981,6358.52,60.0,N,Y,0.0237999999999999,0.31,16.47,10.13,0.82,28 years,04/01/1998,109.0,79.0,Y,N,9.671704488790516
Health,Neutral,Neutral,Alger Health Sciences Fund Class A (AHSAX),BlackRock Health Sciences Opportunities Portfolio Investor C Shares (SHSCX),88.0,51.0,0.0118,-0.19,14.75,2.18,0.78,20 years,05/01/2002,66.07,233.38,Y,Y,0.0185,0.14,12.88,6.82,0.55,22 years,12/21/1999,6536.11,43.0,Y,N,9.665571076594867
Health,Neutral,Silver,Rydex Health Care Fund Class Investor (RYHIX),Baron Health Care Fund Retail Shares (BHCFX),52.0,73.0,0.0139,0.13,13.61,6.82,0.75,28 years,04/17/1998,17.9,236.0,N,Y,0.011,0.05,14.52,5.75,1.0,8 years,04/30/2018,144.04,49.0,N,Y,9.663184984178251
Health,Bronze,Neutral,BlackRock Health Sciences Opportunities Portfolio Investor A Shares (SHSAX),Eventide Healthcare & Life Sciences Fund CLASS I SHARES (ETIHX),45.0,11.0,0.0109,0.2,12.89,7.65,0.55,22 years,12/21/1999,6536.11,43.0,Y,Y,0.0131,0.45,24.3,16.07,,13 years,12/27/2012,1688.38,41.0,N,N,9.6591166390609
Health,Neutral,Neutral,Eaton Vance Worldwide Health Sciences Fund Class A (ETHSX),Alger Health Sciences Fund Class Z (AHSZX),60.0,86.0,0.0118,0.11,13.03,6.46,0.67,10 years,07/26/1985,862.7,30.0,Y,Y,0.0077,-0.17,14.76,2.6,0.78,20 years,05/01/2002,65.99,233.38,N,N,9.656532503525954
Health,Negative,Neutral,Putnam Global Health Care Fund Class A (PHSTX),Eventide Healthcare & Life Sciences Fund CLASS I SHARES (ETIHX),37.0,11.0,0.0105,0.24,13.54,8.34,0.52,9 years,05/28/1982,1547.9,36.0,Y,Y,0.0131,0.45,24.3,16.07,,13 years,12/27/2012,1688.38,41.0,N,N,9.65543386822788
Health,Neutral,Neutral,Alger Health Sciences Fund Class A (AHSAX),Eaton Vance Worldwide Health Sciences Fund Class I (EIHSX),88.0,53.0,0.0118,-0.19,14.75,2.18,0.78,20 years,05/01/2002,66.07,233.38,Y,Y,0.0093,0.13,13.03,6.72,0.67,10 years,07/26/1985,862.7,30.0,N,N,9.648623225883895
Health,Negative,Bronze,Rydex Health Care Fund Class A (RYHEX),Janus Henderson Global Life Sciences Fund Class I (JFNIX),58.0,22.0,0.0163999999999999,0.11,13.61,6.54,0.75,28 years,04/17/1998,17.9,236.0,Y,N,0.0077,0.44,15.11,11.64,0.78,19 years,12/31/1998,5393.02,30.0,N,N,9.631206502659746
Health,Negative,Bronze,Rydex Health Care Fund Class H (RYHAX),Janus Henderson Global Life Sciences Fund Class I (JFNIX),58.0,22.0,0.0163999999999999,0.11,13.61,6.55,0.75,28 years,04/17/1998,17.9,236.0,N,N,0.0077,0.44,15.11,11.64,0.78,19 years,12/31/1998,5393.02,30.0,N,N,9.62915092834541
Health,Bronze,Neutral,The Hartford Healthcare Fund Class I (HGHIX),Alger Health Sciences Fund Class C (AHSCX),60.0,90.0,0.0102,0.1,14.48,6.54,0.65,5 years,05/01/2000,845.64,40.0,N,N,0.019,-0.24,14.73,1.42,0.78,20 years,05/01/2002,66.07,233.38,Y,N,9.62205746080351
Health,Neutral,Bronze,Eaton Vance Worldwide Health Sciences Fund Class I (EIHSX),Fidelity Select Health Care Services Portfolio (FSHCX),53.0,98.0,0.0093,0.13,13.03,6.72,0.67,10 years,07/26/1985,862.7,30.0,N,N,0.0067,-0.4,20.06,-2.93,0.38,1 year,06/30/1986,865.51,61.0,N,Y,9.618027580230505
Health,Bronze,Gold,Fidelity Select Pharmaceuticals Portfolio (FPHAX),Fidelity Select Medical Technology and Devices Portfolio (FSMEX),8.0,77.0,0.0067,0.7,17.16,17.05,0.65,9 years,06/18/2001,1352.03,45.0,N,Y,0.0063,0.0,16.47,5.04,1.04,19 years,04/28/1998,4114.01,53.0,N,Y,9.615950588374723
Health,Bronze,Neutral,The Hartford Healthcare Fund Class Y (HGHYX),Alger Health Sciences Fund Class C (AHSCX),60.0,90.0,0.0103,0.1,14.48,6.54,0.65,5 years,05/01/2000,845.64,40.0,N,N,0.019,-0.24,14.73,1.42,0.78,20 years,05/01/2002,66.07,233.38,Y,N,9.603125325586232
Health,Negative,Neutral,Rydex Biotechnology Fund Class A (RYBOX),Virtus KAR Health Sciences Fund Institutional Class (HLHIX),28.0,85.0,0.0163999999999999,0.36,16.49,10.96,0.82,28 years,04/01/1998,109.0,79.0,Y,N,0.0105,-0.16,14.73,2.73,,3 years,02/05/2002,103.63,8.0,N,N,9.59268014344252
Health,Negative,Neutral,Rydex Biotechnology Fund Class C (RYCFX),Eventide Healthcare & Life Sciences Fund CLASS N SHARES (ETNHX),31.0,11.0,0.0237999999999999,0.31,16.47,10.13,0.82,28 years,04/01/1998,109.0,79.0,Y,N,0.0151,0.44,24.28,15.83,,13 years,12/27/2012,1688.38,41.0,N,Y,9.592223747922617
Health,Negative,Neutral,Rydex Biotechnology Fund Class H (RYOAX),Virtus KAR Health Sciences Fund Institutional Class (HLHIX),28.0,85.0,0.0163999999999999,0.36,16.47,10.96,0.82,28 years,04/01/1998,109.0,79.0,N,N,0.0105,-0.16,14.73,2.73,,3 years,02/05/2002,103.63,8.0,N,N,9.587025413036466
Health,Neutral,Bronze,Alger Health Sciences Fund Class A (AHSAX),BlackRock Health Sciences Opportunities Portfolio Institutional Shares (SHSSX),88.0,42.0,0.0118,-0.19,14.75,2.18,0.78,20 years,05/01/2002,66.07,233.38,Y,Y,0.0084,0.22,12.88,7.92,0.55,22 years,12/21/1999,6536.11,43.0,N,N,9.583060324738863
Health,Gold,Negative,Baron Health Care Fund Institutional Shares (BHCHX),Putnam Global Health Care Fund Class C (PCHSX),70.0,46.0,0.0085,0.07,14.52,6.03,1.0,8 years,04/30/2018,144.04,49.0,N,N,0.018,0.18,13.54,7.52,0.52,9 years,05/28/1982,1547.9,36.0,Y,N,9.57640606196515
Health,Negative,Silver,Rydex Biotechnology Fund Class A (RYBOX),Baron Health Care Fund Retail Shares (BHCFX),28.0,73.0,0.0163999999999999,0.36,16.49,10.96,0.82,28 years,04/01/1998,109.0,79.0,Y,N,0.011,0.05,14.52,5.75,1.0,8 years,04/30/2018,144.04,49.0,N,Y,9.569577111536343
Health,Gold,Neutral,Baron Health Care Fund Institutional Shares (BHCHX),Rydex Biotechnology Fund Class Investor (RYOIX),70.0,25.0,0.0085,0.07,14.52,6.03,1.0,8 years,04/30/2018,144.04,49.0,N,N,0.0139,0.38,16.48,11.23,0.82,28 years,04/01/1998,109.0,79.0,N,Y,9.564694172018998
Health,Negative,Silver,Rydex Biotechnology Fund Class H (RYOAX),Baron Health Care Fund Retail Shares (BHCFX),28.0,73.0,0.0163999999999999,0.36,16.47,10.96,0.82,28 years,04/01/1998,109.0,79.0,N,N,0.011,0.05,14.52,5.75,1.0,8 years,04/30/2018,144.04,49.0,N,Y,9.563922381130288
Health,Bronze,Neutral,BlackRock Health Sciences Opportunities Portfolio Service Shares (SHISX),Eventide Healthcare & Life Sciences Fund CLASS I SHARES (ETIHX),45.0,11.0,0.0115,0.2,12.89,7.59,0.55,22 years,12/21/1999,6536.11,43.0,N,N,0.0131,0.45,24.3,16.07,,13 years,12/27/2012,1688.38,41.0,N,N,9.557857273643249
Health,Neutral,Silver,BlackRock Health Sciences Opportunities Portfolio Investor C Shares (SHSCX),Baron Health Care Fund Retail Shares (BHCFX),51.0,73.0,0.0185,0.14,12.88,6.82,0.55,22 years,12/21/1999,6536.11,43.0,Y,N,0.011,0.05,14.52,5.75,1.0,8 years,04/30/2018,144.04,49.0,N,Y,9.555613917054854
Health,Bronze,Negative,BlackRock Health Sciences Opportunities Portfolio Investor A Shares (SHSAX),Virtus KAR Health Sciences Fund Class C (RCGHX),45.0,90.0,0.0109,0.2,12.89,7.65,0.55,22 years,12/21/1999,6536.11,43.0,Y,Y,0.0216,-0.23,14.73,1.63,,3 years,02/05/2002,103.63,8.0,Y,N,9.555454769676794
Health,Bronze,Neutral,Janus Henderson Global Life Sciences Fund Class I (JFNIX),Franklin Biotechnology Discovery Fund Class C (FBTDX),22.0,1.0,0.0077,0.44,15.11,11.64,0.78,19 years,12/31/1998,5393.02,30.0,N,N,0.0177,0.84,20.66,22.4,0.82,28 years,09/15/1997,1023.98,21.87,Y,N,9.549090460795068
Health,Neutral,Negative,Rydex Health Care Fund Class Investor (RYHIX),Putnam Global Health Care Fund Class A (PHSTX),52.0,37.0,0.0139,0.13,13.61,6.82,0.75,28 years,04/17/1998,17.9,236.0,N,Y,0.0105,0.24,13.54,8.34,0.52,9 years,05/28/1982,1547.9,36.0,Y,Y,9.538036851798314
Health,Neutral,Neutral,Rydex Health Care Fund Class Investor (RYHIX),Nomura Healthcare Fund Class A (DLHAX),52.0,25.0,0.0139,0.13,13.61,6.82,0.75,28 years,04/17/1998,17.9,236.0,N,Y,0.0121,0.47,13.35,11.34,0.5,18 years,09/28/2007,693.63,5.0,Y,N,9.524027662778527
Health,Negative,Neutral,Rydex Health Care Fund Class A (RYHEX),Nomura Healthcare Fund Class C (DLHCX),58.0,29.0,0.0163999999999999,0.11,13.61,6.54,0.75,28 years,04/17/1998,17.9,236.0,Y,N,0.0196,0.41,13.34,10.51,0.5,18 years,09/28/2007,693.63,5.0,Y,N,9.520780065866381
Health,Negative,Neutral,Rydex Health Care Fund Class H (RYHAX),Nomura Healthcare Fund Class C (DLHCX),58.0,29.0,0.0163999999999999,0.11,13.61,6.55,0.75,28 years,04/17/1998,17.9,236.0,N,N,0.0196,0.41,13.34,10.51,0.5,18 years,09/28/2007,693.63,5.0,Y,N,9.518724491552044
Health,Negative,Bronze,Rydex Health Care Fund Class C (RYHCX),BlackRock Health Sciences Opportunities Portfolio Investor A Shares (SHSAX),73.0,45.0,0.0237999999999999,0.05,13.61,5.76,0.75,28 years,04/17/1998,17.9,236.0,Y,N,0.0109,0.2,12.89,7.65,0.55,22 years,12/21/1999,6536.11,43.0,Y,Y,9.508721166469696
Health,Bronze,Neutral,PGIM Jennison Health Sciences Fund- Class C (PHLCX),Franklin Biotechnology Discovery Fund Class C (FBTDX),18.0,1.0,0.0196,0.49,14.81,12.34,0.62,11 years,06/30/1999,1483.94,79.0,Y,N,0.0177,0.84,20.66,22.4,0.82,28 years,09/15/1997,1023.98,21.87,Y,N,9.507876230057132
Health,Negative,Neutral,Rydex Biotechnology Fund Class C (RYCFX),Eventide Healthcare & Life Sciences Fund Class A Shares (ETAHX),31.0,11.0,0.0237999999999999,0.31,16.47,10.13,0.82,28 years,04/01/1998,109.0,79.0,Y,N,0.0156,0.44,24.28,15.79,,13 years,12/27/2012,1688.38,41.0,Y,N,9.489340774578881
Health,Neutral,Bronze,Invesco Health Care Fund Class A (GGHCX),Fidelity Select Health Care Services Portfolio (FSHCX),47.0,98.0,0.0105,0.17,13.62,7.36,0.7,5 years,08/07/1989,1255.13,56.0,Y,Y,0.0067,-0.4,20.06,-2.93,0.38,1 year,06/30/1986,865.51,61.0,N,Y,9.485245158313472
Health,Bronze,Gold,BlackRock Health Sciences Opportunities Portfolio Institutional Shares (SHSSX),Fidelity Select Biotechnology Portfolio (FBIOX),42.0,6.0,0.0084,0.22,12.88,7.92,0.55,22 years,12/21/1999,6536.11,43.0,N,N,0.0063,0.62,19.51,17.22,0.89,20 years,12/16/1985,5225.16,45.0,N,Y,9.475614547894043
